Magnet School,High-Income (Tier C),Middle-Income (Tier B),Low-Income (Tier A),Status
Academy of Comp Science and Eng (formerly Civic Ldrshp)                                    ,0.1,0.4,0.5,Not Integrated (< 30% High-Income)
Classical Magnet School                                                                                                 ,0.1,0.37,0.53,Not Integrated (< 30% High-Income)
Betances STEM Magnet School                                                                                             ,0.11,0.33,0.56,Not Integrated (< 30% High-Income)
Two Rivers Magnet Middle School                                                                                         ,0.14,0.4,0.46,Not Integrated (< 30% High-Income)
Kinsella Magnet School of Performing Arts                                                                               ,0.15,0.33,0.52,Not Integrated (< 30% High-Income)
Sport and Medical Sciences Academy                                                                                      ,0.18,0.32,0.5,Not Integrated (< 30% High-Income)
Academy of Science and Innovation                                                                                       ,0.21,0.36,0.43,Not Integrated (< 30% High-Income)
Capital Preparatory Magnet School                                                                                       ,0.21,0.32,0.47,Not Integrated (< 30% High-Income)
Great Path Academy at MCC                                                                                               ,0.21,0.35,0.44,Not Integrated (< 30% High-Income)
Pathways Academy of Technology and Design                                                                               ,0.21,0.24,0.55,Not Integrated (< 30% High-Income)
Hartford Magnet Trinity College Academy                                                                                 ,0.23,0.3,0.47,Not Integrated (< 30% High-Income)
Academy of International Studies (formerly MLC)                                                                          ,0.24,0.39,0.37,Not Integrated (< 30% High-Income)
"Breakthrough Magnet School, North                                                                                       ",0.25,0.42,0.33,Not Integrated (< 30% High-Income)
Connecticut River Academy                                                                                               ,0.25,0.28,0.47,Not Integrated (< 30% High-Income)
Glastonbury/East Hartford Magnet School                                                                                 ,0.25,0.3,0.45,Not Integrated (< 30% High-Income)
Riverside Magnet School at Goodwin College                                                                              ,0.25,0.35,0.4,Not Integrated (< 30% High-Income)
"Breakthrough Magnet School, South                                                                                       ",0.26,0.24,0.5,Not Integrated (< 30% High-Income)
University High School of Science and Engineering                                                                       ,0.26,0.23,0.51,Not Integrated (< 30% High-Income)
Global Experience Magnet School                                                                                         ,0.28,0.26,0.46,Not Integrated (< 30% High-Income)
Greater Hartford Academy of the Arts Magnet Middle                                                                      ,0.28,0.19,0.53,Not Integrated (< 30% High-Income)
Montessori Magnet School                                                                                                ,0.28,0.3,0.42,Not Integrated (< 30% High-Income)
Webster Micro Society Magnet School                                                                                     ,0.28,0.34,0.38,Not Integrated (< 30% High-Income)
Reggio Magnet School of the Arts                                                                                        ,0.29,0.3,0.41,Not Integrated (< 30% High-Income)
University of Hartford Magnet School                                                                                    ,0.29,0.26,0.45,Not Integrated (< 30% High-Income)
Environmental Sciences Magnet at Hooker School                                                                          ,0.3,0.29,0.41,Meets Goal (> 30% High-Income)
Montessori Magnet School at Batchelder (formerly Moylan),0.3,0.28,0.42,Meets Goal (> 30% High-Income)
Museum Academy                                                                                                          ,0.3,0.4,0.3,Meets Goal (> 30% High-Income)
Academy of Aerospace and Engineering                                                                                    ,0.31,0.27,0.42,Meets Goal (> 30% High-Income)
Greater Hartford Academy of Arts High Sch - Full Time                                                           ,0.31,0.22,0.47,Meets Goal (> 30% High-Income)
Ana Grace Academy of the Arts Elementary School                                                                         ,0.32,0.28,0.4,Meets Goal (> 30% High-Income)
Betances Early Reading Lab Magnet School                                                                                ,0.32,0.31,0.37,Meets Goal (> 30% High-Income)
Connecticut IB Academy                                                                                                  ,0.32,0.43,0.25,Meets Goal (> 30% High-Income)
Discovery Academy                                                                                                       ,0.32,0.25,0.43,Meets Goal (> 30% High-Income)
International Magnet School for Global Citizenship                                                                      ,0.33,0.33,0.34,Meets Goal (> 30% High-Income)
Montessori Magnet at Fisher School                                                                                      ,0.34,0.33,0.33,Meets Goal (> 30% High-Income)
STEM Magnet at Annie Fisher                                                                                      ,0.39,0.28,0.33,Meets Goal (> 30% High-Income)
Academy of Aerospace and Engineering Elementary                                                                         ,0.4,0.18,0.42,Meets Goal (> 30% High-Income)
CREC Montessori Magnet School                                                                               ,0.44,0.14,0.42,Meets Goal (> 30% High-Income)
